OrderID,OrderDate,CustomerName,ProductName,Category,Quantity,Price
1003,8/31/2023,Rahul Mehta,Headphones,Electronics,2,1299
1005,12/22/2023,Rahul Mehta,Headphones,Electronics,4,1299
1010,5/9/2023,Amit Sharma,Smartphone,Electronics,1,15999
1011,1/4/2023,Priya Singh,Mouse,Electronics,5,499
1012,7/30/2023,Rohit Gupta,Smartphone,Electronics,5,15999
1013,8/14/2023,Rohit Gupta,Laptop,Electronics,2,45999
1017,9/5/2023,Neha Verma,Headphones,Electronics,5,1299
1018,3/16/2023,Amit Sharma,Laptop,Electronics,3,45999
1019,10/16/2023,Rahul Mehta,Printer,Electronics,2,8999
1022,10/11/2023,Priya Singh,Smartphone,Electronics,2,15999
1028,12/21/2023,Anjali Chauhan,Laptop,Electronics,1,45999
1029,5/21/2023,Rahul Mehta,Laptop,Electronics,5,45999
1030,8/31/2023,Neha Verma,Laptop,Electronics,3,45999
1032,10/1/2023,Rohit Gupta,Mouse,Electronics,2,499
1033,5/23/2023,Priya Singh,Headphones,Electronics,4,1299
1035,8/26/2023,Priya Singh,Smartphone,Electronics,4,15999
1039,3/16/2023,Amit Sharma,Printer,Electronics,5,8999
1046,7/20/2023,Neha Verma,Printer,Electronics,3,8999
1048,4/17/2023,Rahul Mehta,Smartphone,Electronics,3,15999
1051,3/7/2023,Anjali Chauhan,Laptop,Electronics,1,45999
1052,4/30/2023,Amit Sharma,Mouse,Electronics,4,499
1054,3/20/2023,Rohit Gupta,Laptop,Electronics,1,45999
1055,10/5/2023,Neha Verma,Mouse,Electronics,4,499
1058,1/14/2023,Neha Verma,Printer,Electronics,5,8999
1059,9/8/2023,Rohit Gupta,Printer,Electronics,1,8999
1063,6/20/2023,Priya Singh,Smartphone,Electronics,3,15999
1068,2/6/2023,Priya Singh,Laptop,Electronics,2,45999
1069,12/4/2023,Neha Verma,Printer,Electronics,3,8999
1070,11/11/2023,Priya Singh,Laptop,Electronics,5,45999
1071,10/3/2023,Neha Verma,Smartphone,Electronics,4,15999
1074,9/30/2023,Amit Sharma,Smartphone,Electronics,2,15999
1075,9/10/2023,Rohit Gupta,Headphones,Electronics,5,1299
1076,6/13/2023,Rohit Gupta,Laptop,Electronics,3,45999
1079,3/13/2023,Neha Verma,Headphones,Electronics,3,1299
1080,8/11/2023,Priya Singh,Smartphone,Electronics,4,15999
1082,1/20/2023,Rahul Mehta,Printer,Electronics,5,8999
1083,3/30/2023,Amit Sharma,Laptop,Electronics,2,45999
1085,3/9/2023,Amit Sharma,Headphones,Electronics,3,1299
1086,11/21/2023,Rohit Gupta,Headphones,Electronics,4,1299
1089,5/18/2023,Neha Verma,Headphones,Electronics,3,1299
1090,10/19/2023,Priya Singh,Printer,Electronics,4,8999
1091,3/8/2023,Priya Singh,Smartphone,Electronics,3,15999
1092,5/23/2023,Priya Singh,Laptop,Electronics,5,45999
1096,12/22/2023,Rohit Gupta,Mouse,Electronics,3,499
1097,7/28/2023,Anjali Chauhan,Printer,Electronics,4,8999
1101,5/18/2023,Rahul Mehta,Smartphone,Electronics,5,15999
